Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-12-20,7311.02,4999.28,6139.67,10509.82,8337.35,7290.98,3445.63
2022-12-21,7485.09,5092.0,6178.29,10630.08,8431.13,7370.29,3439.88
2022-12-22,7307.15,4917.12,6052.77,10591.19,8335.44,7182.13,3134.32
2022-12-23,7286.7,5002.8,6154.15,10618.11,8374.99,7198.42,3079.31
2022-12-27,7185.58,4873.11,6027.25,10615.12,8404.34,7145.04,2728.0
2022-12-28,6965.09,4801.52,5932.76,10569.05,8450.27,7071.77,2818.27
2022-12-29,7162.37,4940.01,6100.36,10622.9,8498.75,7267.16,3046.06
2022-12-30,7180.05,4929.45,6085.18,10568.45,8554.89,7231.28,3080.06
2023-01-03,6911.48,5036.25,6146.57,10660.59,8619.96,7224.04,2703.0
2023-01-04,6982.77,4996.35,6074.84,10776.65,8700.35,6908.04,2841.52
2023-01-05,6908.72,4877.81,5945.17,10697.08,8698.42,6703.3,2759.01
2023-01-06,7162.92,5051.51,6023.8,10783.83,8864.87,6782.3,2827.02
2023-01-09,7192.21,5126.63,6070.7,10504.44,8828.23,6848.34,2994.8
2023-01-10,7224.26,5273.92,6098.29,10479.31,8907.29,6900.5,2971.79
2023-01-11,7376.78,5580.25,6312.09,10462.56,8973.48,7109.16,3081.06
2023-01-12,7372.36,5590.81,6285.2,10409.91,8964.48,7191.78,3089.57
2023-01-13,7446.96,5758.06,6353.48,10375.81,9190.7,7213.49,3060.56
2023-01-17,7512.17,5636.59,6296.23,10311.8,9048.67,7247.26,3287.85
2023-01-18,7471.83,5601.96,6284.51,10156.25,8776.82,7110.37,3220.09
2023-01-19,7475.14,5497.51,6417.62,10142.48,8659.86,6993.37,3179.83
2023-01-20,7618.82,5707.01,6760.4,10095.22,8681.07,7243.34,3336.11
2023-01-23,7797.87,5722.85,6882.47,10069.5,8821.81,7314.5,3594.41
2023-01-24,7876.34,5652.43,6738.33,10069.5,8897.64,7298.22,3597.91
2023-01-25,7839.31,5702.9,6567.28,10141.29,8940.7,7255.1,3611.41
2023-01-26,7955.36,5822.62,6725.91,10104.19,8995.97,7477.93,4007.48
2023-01-27,8064.22,5999.84,6853.51,10064.71,9017.82,7482.76,4448.32
2023-01-30,7902.31,5900.67,6685.91,9691.99,8941.34,7318.42,4167.26
